first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Daniel,James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaud,Verlinden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Allsop,0,0,3,90,1,0,33.8,0,0,17,3.4,0,0,0,0.1
Alex,Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,James,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0
Ben,Woodburn,0,0,5,86,1,12.6,7.4,34,0,14,5.4,0,0,0,0
Joshua,Sims,0,1,12,211,1,38.2,41.8,83,0,48,16.3,1,0,0,0.3
Andrew,Eleftheriou,0,0,0,52,2,0.8,5.2,0,0,4,0.6,0,0,0,0
Michael,Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwatosin,Adarabioyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus,Browne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domingos,Quina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noor,Husin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Wan-Bissaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Maja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Rekeem,Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Robson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjoe,Kenny,0,0,1,13,0,0.6,0,0,0,2,0,0,0,0,0
Elliot,Embleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declan,Rice,0,0,1,1,0,0.3,0.6,0,0,3,0.1,0,0,0,0
Charlie,Rowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Folivi,0,0,1,10,0,0.1,0,0,0,2,0,0,0,0,0
Brandon,Mason,0,0,1,113,5,0.8,11.4,0,0,13,1.2,0,0,0,0.1
Carl,Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Ledger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Fernando,de Jesus,7,4,67,651,5,165.9,335.8,436,12,258,92.9,3,0,2,14.7
Joey,Barton,1,2,37,1105,16,147.4,184.8,86,0,205,41.9,4,0,4,0.1
Ademola,Lookman,1,0,16,289,2,15.5,55.8,193,0,33,26.1,1,0,0,0
Wilfred,Ndidi,2,3,59,1521,28,93.8,313.6,357,2,288,76.4,4,0,0,0.7
Rudy,Gestede,1,0,21,533,12,148.4,79.4,254,0,80,48.1,1,0,3,0.1
Evandro,Goebel,0,0,18,576,10,171,42.4,20,0,88,23.2,3,0,1,0
Joel,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano,Narsingh,0,3,25,416,8,105.7,74.4,60,0,75,23.9,1,0,0,0
Martin,Olsson,2,0,52,1252,18,149.5,262,114,3,234,52.6,4,0,2,0.8
Omar,Elabdellaoui,0,0,13,615,16,70.4,84.6,8,0,111,16.4,1,0,0,0
Joleon,Lescott,0,0,1,124,5,0.3,39,0,0,14,3.9,0,0,0,0.3
Mauro,Zárate,0,1,8,204,3,52.8,18.8,71,0,27,14.3,0,0,0,0
M'Baye,Niang,2,2,49,1246,27,186.3,190,364,6,183,73.4,3,0,2,0.4
Andrea,Ranocchia,2,2,55,1330,31,39,444.4,158,9,299,64.2,3,0,2,1.3
Giedrius,Arlauskis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie,Brady,1,3,39,719,11,253,151.2,116,4,143,51.6,1,0,1,0.2
Ashley,Westwood,0,0,13,551,9,64.3,50.8,2,0,68,11.8,1,0,3,0
Jordan,Ayew,1,4,39,867,7,122.5,141,219,2,122,47.9,5,0,1,0.6
Manolo,Gabbiadini,4,1,38,724,12,85,165.6,432,4,124,67.8,3,0,1,6.5
Alfred,N'Diaye,1,0,34,1273,30,98.3,158.8,137,2,177,39.1,4,0,7,0.8
Molla,Wagué,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka,Milivojevic,2,0,42,1224,16,96.5,192.4,130,3,169,41.8,5,0,4,0.1
Kamil,Grosicki,0,5,43,1143,27,360.9,133.6,309,0,132,80.3,3,0,1,0.2
Thomas,Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baily,Cargill,0,0,1,13,0,0,4.2,0,0,5,0.4,0,0,0,0
Mouez,Hassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Agyei,0,0,3,25,0,0.3,1,11,0,6,0.8,0,0,0,0
Martín,Cáceres,0,0,2,90,1,1.1,19.6,6,0,16,2.7,0,0,0,0
Harry,Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel,Tuanzebe,0,0,14,303,4,27.7,32.6,18,0,69,7.8,2,0,0,0.3
Damian Emiliano,Martinez,0,0,8,180,3,0,30.6,0,0,35,3.1,1,0,0,0.6
Joe,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion,Pereira,0,0,2,25,1,14.6,4.2,4,0,6,2.3,0,0,0,0
Matt,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Husband,0,0,0,58,3,1.5,1.2,0,0,3,0.3,0,0,0,0
Joel Dinis,Castro Pereira,0,0,6,90,0,0,7.4,0,0,23,0.7,1,0,0,0.1
Eduardo,Dos Reis Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses,Makasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian,Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,McTominay,0,0,3,97,0,19.1,22.2,17,0,16,5.8,1,0,1,0
Angus,Gunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetri,Mitchell,0,0,8,90,0,31.6,24.8,0,2,35,5.6,1,0,0,0
Elliott,Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip,Lesniak,0,1,4,5,0,11.2,18.6,0,0,14,3,0,0,0,0
Samuel,Shashoua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zachary,Dearnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua,Harrop,1,0,8,90,0,20.2,36.2,21,0,32,7.7,1,0,0,0
Daniel,Kemp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Batty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Ramsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Worthington,0,0,1,17,0,0.7,1,0,0,3,0.2,0,0,0,0
Sam,Surridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel,Gomes,0,0,1,3,0,3.8,0.8,0,0,2,0.5,0,0,0,0
Kieran,O'Hara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerhard,Tremmel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rene,Gilmartin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
