id,name,squad,price,status,position,totalPoints,avgPoints,round0,round1,round2,round3,round4,round5,round6,round7
680,Yuito Suzuki,JPN,5.0,eliminated,MID,1,1,0,1,0,0,0,0,0,0
681,Ao Tanaka,JPN,5.0,eliminated,MID,8,2.7,0,4,3,1,0,0,0,0
682,Daichi Kamada,JPN,5.8,eliminated,MID,25,6.3,11,11,2,1,0,0,0,0
684,Ritsu Doan,JPN,5.1,eliminated,DEF,19,4.8,1,9,7,2,0,0,0,0
685,Yousef Hussein Abed Qashi,JOR,4.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
686,Ibrahim Mohammad Sami Sadeh,JOR,4.4,eliminated,MID,0,0,0,0,0,0,0,0,0,0
687,Mohammad Ratib Mohammad Al Daoud,JOR,4.7,eliminated,MID,1,1,1,0,0,0,0,0,0,0
688,Noor Al Deen Mahmoud Ali Al Rawabdeh,JOR,4.7,eliminated,MID,13,4.3,7,3,3,0,0,0,0,0
689,Nizar Mahmoud Ahmed Al Rashdan,JOR,4.9,eliminated,MID,15,5,3,11,1,0,0,0,0,0
690,Yazan Mousa Mahmoud Abu Al Arab,JOR,3.7,eliminated,DEF,-2,-0.7,-2,1,-1,0,0,0,0,0
691,Abdallah Mousa Musallam Nasib,JOR,3.6,eliminated,DEF,2,0.7,1,1,0,0,0,0,0,0
692,Mohannad Mahmoud Saleh Abu Taha,JOR,3.5,eliminated,DEF,0,0,0,1,-1,0,0,0,0,0
693,Mohammad Ali Hasan Abu Hasheesh,JOR,3.5,eliminated,DEF,1,1,0,1,0,0,0,0,0,0
695,Husam Ali Mohammad Abu Al Dahab,JOR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
696,Mohammad Ahmed Mohammad Taha,JOR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
697,Ahmad Fawzi Abdalateef Assaf,JOR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
698,Saleem Amer Saleem Obaid,JOR,3.5,eliminated,DEF,1,0.3,-1,1,1,0,0,0,0,0
699,Mohammad Majed Jamil Abu Al Nadi,JOR,3.5,eliminated,DEF,2,2,2,0,0,0,0,0,0,0
700,Amer Rasem Adel Jamous,JOR,3.5,eliminated,DEF,1,1,0,0,1,0,0,0,0,0
701,Mousa Mohammad Mousa Sulaiman Al Tamari,JOR,5.6,eliminated,FWD,17,5.7,2,7,8,0,0,0,0,0
702,Mohammad Faisal Yousef Abu Zraiq,JOR,4.2,eliminated,FWD,1,0.5,0,1,0,0,0,0,0,0
703,Mahmoud Nayef Ahmad Al Mardi,JOR,4.2,eliminated,FWD,4,1.3,1,2,1,0,0,0,0,0
705,Ibrahim Mohammad Abdallah Sabra,JOR,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
707,Ali Ahmad Ali Al Azaizeh,JOR,4.0,eliminated,FWD,3,1,1,1,1,0,0,0,0,0
708,Odeh Burhan Shehadeh Fakhoury,JOR,4.0,eliminated,FWD,4,1.3,2,1,1,0,0,0,0,0
709,Yazeed Mo'ien Hasan Abulaila,JOR,3.9,eliminated,GK,3,1,0,3,0,0,0,0,0,0
710,Abdallah Ra'ed Mahmoud Al Fakhouri,JOR,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
713,Jin-Seob Park,KOR,4.9,eliminated,MID,2,1,1,0,1,0,0,0,0,0
714,Jin-Gyu Kim,KOR,4.9,eliminated,MID,2,1,1,0,1,0,0,0,0,0
715,Min-Jae Kim,KOR,5.0,eliminated,DEF,6,2,2,2,2,0,0,0,0,0
716,Young-Woo Seol,KOR,4.2,eliminated,DEF,6,2,2,2,2,0,0,0,0,0
717,Yu-Min Cho,KOR,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
718,Moon-Hwan Kim,KOR,3.9,eliminated,DEF,2,2,0,2,0,0,0,0,0,0
719,Han-Beom Lee,KOR,3.7,eliminated,DEF,6,2,2,2,2,0,0,0,0,0
720,Tae-Seok Lee,KOR,3.7,eliminated,DEF,3,1.5,2,0,1,0,0,0,0,0
722,Tae-Hyeon Kim,KOR,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
723,Heung-Min Son,KOR,7.4,eliminated,FWD,4,1.3,2,1,1,0,0,0,0,0
724,Hee-Chan Hwang,KOR,6.1,eliminated,FWD,3,1,1,1,1,0,0,0,0,0
725,Gue-Sung Cho,KOR,5.3,eliminated,FWD,1,0.5,0,1,0,0,0,0,0,0
726,Hyeon-Gyu Oh,KOR,4.9,eliminated,FWD,11,3.7,8,1,2,0,0,0,0,0
727,Hyun-Jun Yang,KOR,4.7,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
728,Ji-Sung Eom,KOR,4.6,eliminated,FWD,2,1,1,1,0,0,0,0,0,0
729,Hyeon-Woo Jo,KOR,4.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
730,Seung-Gyu Kim,KOR,4.1,eliminated,GK,9,3,3,3,3,0,0,0,0,0
731,Bum-Keun Song,KOR,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
732,Seung-Ho Paik,KOR,5.6,eliminated,MID,4,1.3,2,1,1,0,0,0,0,0
733,Jens Castrop,KOR,5.6,eliminated,MID,1,1,0,0,1,0,0,0,0,0
735,Jun-Ho Bae,KOR,5.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
736,Kang-In Lee,KOR,6.1,eliminated,MID,10,3.3,7,1,2,0,0,0,0,0
737,Jae-Sung Lee,KOR,6.2,eliminated,MID,4,2,2,2,0,0,0,0,0,0
738,Obed Vargas,MEX,4.7,eliminated,MID,3,1,0,1,1,1,0,0,0,0
740,Johan Vasquez,MEX,4.7,eliminated,DEF,26,6.5,9,9,0,9,-1,0,0,0
741,Cesar Montes,MEX,4.7,eliminated,DEF,25,6.3,7,0,9,9,0,0,0,0
742,Jesus Gallardo,MEX,4.7,eliminated,DEF,28,5.6,9,9,1,9,0,0,0,0
743,Jorge Sanchez,MEX,4.0,eliminated,DEF,29,7.3,0,9,12,9,-1,0,0,0
744,Israel Reyes,MEX,4.0,eliminated,DEF,20,5,9,1,9,1,0,0,0,0
745,Jesus Angulo,MEX,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
746,Richard Ledezma,MEX,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
747,Everardo Lopez,MEX,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
748,Raul Jimenez,MEX,7.0,eliminated,FWD,31,7.8,10,2,0,9,10,0,0,0
749,German Berterame,MEX,5.6,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
750,Julian Quinones,MEX,5.6,eliminated,FWD,42,8.4,10,2,9,12,9,0,0,0
751,Alexis Vega,MEX,5.3,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
752,Roberto Alvarado,MEX,5.3,eliminated,FWD,30,6,7,2,7,7,7,0,0,0
753,Guillermo Martinez,MEX,4.7,eliminated,FWD,3,1.5,0,0,2,0,1,0,0,0
754,Armando Gonzalez,MEX,4.4,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
755,Guillermo Ochoa,MEX,4.2,eliminated,GK,1,1,0,0,1,0,0,0,0,0
756,Carlos Acevedo,MEX,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
757,Raul Rangel,MEX,3.9,eliminated,GK,27,5.4,7,7,7,7,-1,0,0,0
758,Brian Gutierrez,MEX,5.0,eliminated,MID,9,2.3,2,3,0,1,3,0,0,0
759,Erik Lira,MEX,5.6,eliminated,MID,16,4,8,3,0,3,2,0,0,0
760,Carlos Rodriguez,MEX,5.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
761,Erick Sanchez,MEX,4.5,eliminated,MID,0,0,0,0,0,0,0,0,0,0
762,Orbelin Pineda,MEX,6.2,eliminated,MID,2,1,0,1,0,1,0,0,0,0
763,Alvaro Fidalgo,MEX,6.4,eliminated,MID,13,4.3,3,0,9,0,1,0,0,0
765,Samir El Mourabet,MAR,4.7,eliminated,MID,5,1,1,1,1,1,1,0,0,0
766,Oussama Targhalline,MAR,5.3,eliminated,MID,0,0,0,0,0,0,0,0,0,0
770,Souffian El Karouani,MAR,4.0,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
773,Anass Salah-Eddine,MAR,3.9,eliminated,DEF,4,1,1,0,1,1,0,1,0,0
774,Ismael Baouf,MAR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
775,Abdelhamid Ait Boudlal,MAR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
777,Ayoub El Kaabi,MAR,5.9,eliminated,FWD,3,3,0,0,3,0,0,0,0,0
782,Gessime Yassine,MAR,4.0,eliminated,FWD,10,3.3,0,0,8,1,0,1,0,0
783,Rayane Bounida,MAR,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
784,Yassir Zabiri,MAR,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
787,El Mehdi Al Harrar,MAR,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
792,Ismael Saibari,MAR,6.8,eliminated,MID,32,6.4,10,11,8,2,1,0,0,0
793,Kees Smit,NED,4.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
794,Luciano Valente,NED,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
795,Denzel Dumfries,NED,5.7,eliminated,DEF,16,4,1,8,5,2,0,0,0,0
796,Virgil van Dijk,NED,5.5,eliminated,DEF,17,4.3,8,2,5,2,0,0,0,0
797,Micky van de Ven,NED,5.1,eliminated,DEF,11,3.7,0,2,0,9,0,0,0,0
798,Nathan Ake,NED,5.0,eliminated,DEF,12,4,1,0,2,9,0,0,0,0
799,Jeremie Frimpong,NED,5.0,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
800,Lutsharel Geertruida,NED,4.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
801,Stefan de Vrij,NED,4.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
802,Jan Paul van Hecke,NED,4.3,eliminated,DEF,16,4,1,2,11,2,0,0,0,0
803,Jorrel Hato,NED,4.3,eliminated,DEF,1,1,0,0,0,1,0,0,0,0
804,Cody Gakpo,NED,7.7,eliminated,FWD,32,8,2,19,2,9,0,0,0,0
805,Donyell Malen,NED,6.1,eliminated,FWD,6,2,3,1,2,0,0,0,0,0
806,Noa Lang,NED,5.9,eliminated,FWD,2,1,0,1,1,0,0,0,0,0
807,Brian Brobbey,NED,5.7,eliminated,FWD,27,6.8,1,15,9,2,0,0,0,0
808,Wout Weghorst,NED,5.5,eliminated,FWD,1,1,0,0,0,1,0,0,0,0
809,Bart Verbruggen,NED,4.7,eliminated,GK,11,2.8,1,4,3,3,0,0,0,0
810,Mark Flekken,NED,4.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
811,Justin Bijlow,NED,4.3,eliminated,GK,0,0,0,0,0,0,0,0,0,0
812,Ryan Gravenberch,NED,6.1,eliminated,MID,18,4.5,10,3,2,3,0,0,0,0
813,Jerdy Schouten,NED,6.1,eliminated,MID,0,0,0,0,0,0,0,0,0,0
814,Teun Koopmeiners,NED,6.2,eliminated,MID,4,1,1,1,1,1,0,0,0,0
815,Xavi Simons,NED,6.5,eliminated,MID,0,0,0,0,0,0,0,0,0,0
816,Tijjani Reijnders,NED,6.5,eliminated,MID,10,3.3,2,1,7,0,0,0,0,0
817,Quinten Timber,NED,6.8,eliminated,MID,2,1,1,0,0,1,0,0,0,0
818,Callum McCowatt,NZL,4.7,eliminated,MID,4,1.3,2,1,1,0,0,0,0,0
820,Alex Rufer,NZL,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
821,Joe Bell,NZL,5.1,eliminated,MID,7,2.3,3,2,2,0,0,0,0,0
822,Ryan Thomas,NZL,5.3,eliminated,MID,3,1,1,1,1,0,0,0,0,0
823,Marko Stamenic,NZL,5.6,eliminated,MID,6,2,2,3,1,0,0,0,0,0
825,Tyler Bindon,NZL,3.6,eliminated,DEF,0,0,1,1,-2,0,0,0,0,0
826,Francis de Vries,NZL,3.6,eliminated,DEF,1,0.5,0,1,0,0,0,0,0,0
827,Tim Payne,NZL,3.6,eliminated,DEF,5,1.7,1,3,1,0,0,0,0,0
829,Callan Elliot,NZL,3.5,eliminated,DEF,1,1,1,0,0,0,0,0,0,0
830,Finn Surman,NZL,3.5,eliminated,DEF,8,2.7,1,9,-2,0,0,0,0,0
831,Kosta Barbarouses,NZL,4.4,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
832,Elijah Just,NZL,4.2,eliminated,MID,27,9,16,2,9,0,0,0,0,0
833,Ben Waine,NZL,4.2,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
834,Ben Old,NZL,4.2,eliminated,FWD,3,1,1,1,1,0,0,0,0,0
835,Jesse Randall,NZL,4.0,eliminated,FWD,3,1,1,1,1,0,0,0,0,0
836,Lachlan Bayliss,NZL,4.0,eliminated,MID,0,0,0,0,0,0,0,0,0,0
838,Max Crocombe,NZL,3.9,eliminated,GK,1,0.3,1,1,-1,0,0,0,0,0
839,Alex Paulsen,NZL,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
840,Michael Woud,NZL,3.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
841,Sander Berge,NOR,4.7,eliminated,MID,11,2.2,2,2,0,3,2,2,0,0
843,Oscar Bobb,NOR,5.1,eliminated,MID,9,1.5,1,1,4,1,1,1,0,0
844,Morten Thorsby,NOR,5.6,eliminated,MID,1,1,0,0,1,0,0,0,0,0
845,Patrick Berg,NOR,5.6,eliminated,MID,21,3.5,1,4,1,9,3,3,0,0
846,Kristoffer Ajer,NOR,4.3,eliminated,DEF,6,1.2,2,1,0,2,1,0,0,0
847,Julian Ryerson,NOR,4.2,eliminated,DEF,14,3.5,2,1,0,0,9,2,0,0
848,Marcus Pedersen,NOR,4.1,eliminated,DEF,14,3.5,0,10,1,2,0,1,0,0
849,Leo Ostigard,NOR,4.1,eliminated,DEF,11,2.2,10,1,-1,0,0,1,0,0
850,David Moller Wolfe,NOR,4.0,eliminated,DEF,21,4.2,7,1,0,2,9,2,0,0
851,Fredrik Bjorkan,NOR,4.0,eliminated,DEF,-1,-1,0,0,-1,0,0,0,0,0
852,Torbjorn Heggem,NOR,3.7,eliminated,DEF,10,2,2,2,0,2,2,2,0,0
854,Henrik Falchener,NOR,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
855,Erling Haaland,NOR,10.5,eliminated,FWD,53,10.6,17,13,0,8,13,2,0,0
856,Alexander Sorloth,NOR,6.8,eliminated,FWD,9,1.8,2,2,0,2,1,2,0,0
857,Andreas Schjelderup,NOR,6.2,eliminated,FWD,28,4.7,1,1,7,1,9,9,0,0
858,Jorgen Strand Larsen,NOR,5.6,eliminated,FWD,3,1.5,0,0,2,0,0,1,0,0
859,Orjan Nyland,NOR,4.2,eliminated,GK,17,3.4,2,1,0,3,8,3,0,0
860,Egil Selvik,NOR,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
862,Jens Petter Hauge,NOR,5.9,eliminated,MID,1,1,0,0,1,0,0,0,0,0
863,Antonio Nusa,NOR,6.1,eliminated,MID,17,2.8,2,2,1,10,1,1,0,0
864,Kristian Thorstvedt,NOR,6.2,eliminated,MID,2,1,1,0,1,0,0,0,0,0
865,Carlos Harvey,PAN,4.9,eliminated,MID,6,2,2,2,2,0,0,0,0,0
866,Cristian Martinez,PAN,5.3,eliminated,MID,8,2.7,4,2,2,0,0,0,0,0
867,Yoel Barcenas,PAN,5.6,eliminated,MID,5,1.7,2,1,2,0,0,0,0,0
868,Jose Luis Rodriguez,PAN,5.6,eliminated,MID,7,2.3,3,2,2,0,0,0,0,0
869,Anibal Godoy,PAN,5.6,eliminated,MID,1,1,1,0,0,0,0,0,0,0
870,Amir Murillo,PAN,5.0,eliminated,DEF,5,1.7,2,2,1,0,0,0,0,0
871,Jose Cordoba,PAN,4.0,eliminated,DEF,5,1.7,2,2,1,0,0,0,0,0
872,Eric Davis,PAN,3.9,eliminated,DEF,2,1,0,1,1,0,0,0,0,0
873,Cesar Blackman,PAN,3.7,eliminated,DEF,10,5,8,2,0,0,0,0,0,0
874,Andres Andrade,PAN,3.7,eliminated,DEF,4,1.3,2,2,0,0,0,0,0,0
875,Roderick Miller,PAN,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
876,Jiovany Ramos,PAN,3.5,eliminated,DEF,4,2,2,2,0,0,0,0,0,0
877,Martin Krug,PAN,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
878,Jorge Gutierrez,PAN,3.5,eliminated,DEF,1,1,0,0,1,0,0,0,0,0
879,Ismael Diaz,PAN,4.9,eliminated,FWD,3,1.5,2,0,1,0,0,0,0,0
880,Jose Fajardo,PAN,4.7,eliminated,FWD,3,1,1,2,0,0,0,0,0,0
881,Cecilio Waterman,PAN,5.0,eliminated,FWD,3,1.5,2,1,0,0,0,0,0,0
882,Cesar Yanis,PAN,4.4,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
883,Kadir Barria,PAN,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
884,Luis Mejia,PAN,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
885,Orlando Mosquera,PAN,3.9,eliminated,GK,6,2,2,2,2,0,0,0,0,0
886,Cesar Samudio,PAN,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
887,Adalberto Carrasquilla,PAN,6.5,eliminated,MID,0,0,0,0,0,0,0,0,0,0
888,Mauricio Magalhaes Prado,PAR,4.6,eliminated,MID,14,3.5,9,0,1,3,1,0,0,0
889,Alejandro Romero,PAR,4.7,eliminated,MID,1,1,1,0,0,0,0,0,0,0
890,Matias Galarza,PAR,4.8,eliminated,MID,27,6.8,0,11,7,7,2,0,0,0
891,Lucas Romero,PAR,5.6,eliminated,MID,0,0,0,0,0,0,0,0,0,0
892,Braian Ojeda,PAR,5.6,eliminated,MID,1,1,0,0,0,1,0,0,0,0
893,Gustavo Gomez,PAR,4.6,eliminated,DEF,21,4.2,-1,9,9,2,2,0,0,0
894,Junior Alonso,PAR,4.1,eliminated,DEF,12,2.4,-2,9,1,2,2,0,0,0
895,Omar Alderete,PAR,4.1,eliminated,DEF,18,4.5,-1,9,9,0,1,0,0,0
896,Fabian Balbuena,PAR,4.0,eliminated,DEF,1,1,0,0,0,1,0,0,0,0
897,Alan Benitez,PAR,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
898,Gustavo Velazquez,PAR,3.8,eliminated,DEF,14,2.8,1,1,9,1,2,0,0,0
899,Juan Jose Caceres,PAR,3.8,eliminated,DEF,21,4.2,-1,9,9,2,2,0,0,0
900,Jose Canale,PAR,3.6,eliminated,DEF,5,1.3,0,1,1,2,1,0,0,0
901,Miguel Almiron,PAR,6.0,eliminated,MID,5,1.3,1,0,0,2,2,0,0,0
902,Antonio Sanabria,PAR,6.5,eliminated,FWD,3,1.5,2,0,0,1,0,0,0,0
903,Ramon Sosa,PAR,5.3,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
904,Alex Arce,PAR,4.9,eliminated,FWD,1,0.5,0,0,1,0,0,0,0,0
905,Gabriel Avalos,PAR,4.9,eliminated,FWD,5,1.3,0,1,2,1,1,0,0,0
906,Gustavo Caballero,PAR,4.2,eliminated,FWD,3,1.5,0,0,0,2,1,0,0,0
907,Alexandro Maidana,PAR,4.0,eliminated,FWD,2,1,0,1,1,0,0,0,0,0
908,Roberto Fernandez,PAR,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
909,Gaston Olveira,PAR,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
910,Orlando Gill,PAR,3.5,eliminated,GK,27,5.4,0,10,10,4,3,0,0,0
911,Damian Bobadilla,PAR,5.5,eliminated,MID,4,1,-1,1,1,3,0,0,0,0
912,Julio Enciso,PAR,6.6,eliminated,MID,30,6,7,8,3,9,3,0,0,0
913,Diego Gomez,PAR,6.8,eliminated,MID,9,2.3,1,3,3,0,2,0,0,0
915,Samuel de Almeida Costa,POR,5.6,eliminated,MID,1,1,0,0,1,0,0,0,0,0
916,Nuno Alexandre Tavares Mendes,POR,5.8,eliminated,DEF,27,5.4,2,15,7,2,1,0,0,0
917,Joao Pedro Cavaco Cancelo,POR,5.3,eliminated,DEF,16,3.2,2,4,1,2,7,0,0,0
918,Jose Diogo Dalot Teixeira,POR,5.0,eliminated,DEF,2,1,0,0,1,0,1,0,0,0
919,Goncalo Bernardo Inacio,POR,4.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
921,Renato Palma Veiga,POR,4.3,eliminated,DEF,24,4.8,2,8,9,4,1,0,0,0
922,Tomas Lemos Araujo,POR,4.1,eliminated,DEF,1,1,1,0,0,0,0,0,0,0
923,Goncalo Matias Ramos,POR,7.5,eliminated,FWD,9,4.5,1,0,0,8,0,0,0,0
924,Joao Felix Sequeira,POR,6.5,eliminated,FWD,6,2,0,2,2,0,2,0,0,0
925,Pedro Lomba Neto,POR,6.4,eliminated,MID,19,3.8,7,4,3,2,3,0,0,0
926,Francisco Antonio Machado Mota de Castro Trincao,POR,5.9,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
927,Goncalo Manuel Ganchinho Guedes,POR,5.8,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
928,Francisco Fernandes da Conceicao,POR,5.7,eliminated,MID,4,1,1,1,0,1,1,0,0,0
931,Rui Tiago Dantas da Silva,POR,4.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
932,Jose Pedro Malheiro de Sa,POR,4.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
933,Mario Ricardo da Silva Velho,POR,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
934,Ruben Diogo da Silva Neves,POR,5.9,eliminated,MID,2,1,0,0,1,1,0,0,0,0
935,Matheus Luiz Nunes,POR,6.1,eliminated,MID,1,1,0,0,1,0,0,0,0,0
936,Vitor Machado Ferreira,POR,6.4,eliminated,MID,13,2.6,2,3,3,2,3,0,0,0
937,Joao Pedro Goncalves Neves,POR,6.5,eliminated,MID,20,4,10,3,1,3,3,0,0,0
939,Bruno Miguel Borges Fernandes,POR,8.5,eliminated,MID,17,3.4,3,7,3,2,2,0,0,0
942,Mohammad Naceur Al Mannai,QAT,4.2,eliminated,MID,1,0.3,1,-1,1,0,0,0,0,0
943,Ayoub Mohamed Al Oui,QAT,4.4,eliminated,MID,4,2,2,2,0,0,0,0,0,0
944,Ahmed Fathy Mansi Abdoulla,QAT,4.7,eliminated,MID,3,1,1,0,2,0,0,0,0,0
946,Karim Boudiaf,QAT,4.9,eliminated,MID,3,1.5,1,0,2,0,0,0,0,0
947,Assim Omer Al Haj Madibo,QAT,5.1,eliminated,MID,1,0.5,2,-1,0,0,0,0,0,0
948,Mohammed Waad Abdulwahhab Jadoua Al Bayati,QAT,5.3,eliminated,MID,0,0,0,0,0,0,0,0,0,0
949,Pedro Miguel Carvalho Deus Correia,QAT,3.9,eliminated,DEF,-1,-0.3,2,-3,0,0,0,0,0,0
950,Bassam Husham Ali Al Rawi,QAT,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
951,Lucas Michel Mendes,QAT,3.8,eliminated,DEF,1,1,0,1,0,0,0,0,0,0
952,Boualem Khoukhi,QAT,3.8,eliminated,DEF,-1,-0.3,2,-3,0,0,0,0,0,0
954,Niall Aadya Mason,QAT,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
955,Al Hashmi Al Hussain Mohi Aldin,QAT,3.5,eliminated,DEF,-1,-1,0,-1,0,0,0,0,0,0
957,Gueye Seydinaissa Laye,QAT,3.5,eliminated,DEF,-1,-0.3,2,-3,0,0,0,0,0,0
958,Akram Hassan Afif Yahya Afif,QAT,5.9,eliminated,FWD,5,1.7,2,1,2,0,0,0,0,0
959,Almoez Ali Zainalabedeen Mohamed Abdulla,QAT,5.3,eliminated,FWD,1,1,0,0,1,0,0,0,0,0
960,Edmilson Junior Paulo da Silva,QAT,4.9,eliminated,FWD,11,3.7,3,1,7,0,0,0,0,0
961,Hassan Khalid Hassan Al Haydos,QAT,4.6,eliminated,FWD,9,4.5,1,0,8,0,0,0,0,0
962,Yusuf Abdurisag Yusuf,QAT,4.4,eliminated,FWD,3,1.5,2,1,0,0,0,0,0,0
963,Ahmed Mohammed Hussein Kassim Al Ganehi,QAT,4.2,eliminated,FWD,1,1,0,0,1,0,0,0,0,0
966,Mubarak Shanan Khader Hamza,QAT,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
968,Meshaal Aissa Mohammed Barsham,QAT,4.1,eliminated,GK,0,0,0,0,0,0,0,0,0,0
969,Salah Zakaria Mohamed Mousa Hassan,QAT,3.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
970,Shehab Mamdouh Abdelfadel Ellethy,QAT,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
971,Mahmud Ibrahim Abunada,QAT,3.5,eliminated,GK,-2,-0.7,1,-2,-1,0,0,0,0,0
972,Musab bin Fahad bin Zaid Al Juwayr,KSA,4.1,eliminated,MID,5,1.7,3,1,1,0,0,0,0,0
977,Ziyad bin Mubarak bin Eid Al Marwani Al Johani,KSA,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
978,Mohamed bin Ibrahim bin Abdullah Kanno,KSA,5.1,eliminated,MID,14,4.7,7,0,7,0,0,0,0,0
980,Abdullah bin Mohammed bin Hamza Al Berri Al Khaibari,KSA,5.1,eliminated,MID,4,1.3,2,1,1,0,0,0,0,0
982,Aiman bin Yahya bin Yahya Salem Ahmed,KSA,5.6,eliminated,MID,0,0,0,0,0,0,0,0,0,0
983,Saud bin Abdullah bin Salem Abdulhamid,KSA,4.1,eliminated,DEF,9,3,2,-1,8,0,0,0,0,0
984,Abdulelah bin Ali bin Awadh Al Amri,KSA,3.7,eliminated,DEF,18,6,10,-1,9,0,0,0,0,0
985,Hassan bin Kadish bin Yahya Mahbub,KSA,3.7,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
986,Ali bin Hassan bin Mohammed Majrashi,KSA,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
987,Nawaf bin Meshari bin Mohammed Bu Washl,KSA,3.5,eliminated,DEF,10,5,1,0,9,0,0,0,0,0
991,Ali bin Mohammed bin Ali Lajami,KSA,3.5,eliminated,DEF,1,0.3,1,-1,1,0,0,0,0,0
992,Feras bin Tariq bin Nasser Al Brikan,KSA,5.3,eliminated,FWD,5,1.7,2,2,1,0,0,0,0,0
993,Abdullah bin Abdulrahman bin Abdullah Al Hamddan,KSA,4.9,eliminated,FWD,3,1,1,1,1,0,0,0,0,0
994,Khalid bin Essa bin Mohammed Al Ghannam,KSA,4.9,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
995,Saleh bin Khalid bin Mohammed Al Shehri,KSA,4.9,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
997,Sultan bin Ahmed bin Mohammed Mandash,KSA,4.5,eliminated,FWD,2,2,0,0,2,0,0,0,0,0
999,Nawaf bin Dhahi bin Faisal Al Shuweiti Al Aqidi,KSA,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
1000,Ahmed bin Ali bin Hussein Al Kassar,KSA,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
1001,Mohammed bin Khalil bin Ibrahim Al Owais,KSA,3.5,eliminated,GK,16,5.3,7,0,9,0,0,0,0,0
1003,John McGinn,SCO,6.0,eliminated,MID,15,5,11,2,2,0,0,0,0,0
1005,Billy Gilmour,SCO,5.1,eliminated,MID,0,0,0,0,0,0,0,0,0,0
